,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
375,Mitzic,0.78,11.55,293.84,99,66,1.1,GA,1599087729
376,Dudinka,69.41,86.18,273.15,79,90,1.0,RU,1599087732
377,Westport,41.14,-73.36,298.15,98,100,3.45,US,1599087735
378,Bridgton,44.05,-70.71,290.93,98,100,3.01,US,1599087738
379,Verkhnyaya Inta,65.98,60.31,278.64,85,100,7.98,RU,1599087652
380,Santa Fe,-31.63,-60.7,283.71,89,95,1.79,AR,1599087472
381,Sabang,5.89,95.32,301.22,70,100,3.12,ID,1599087749
382,Ballina,-28.87,153.57,293.15,82,50,2.51,AU,1599087752
383,Zhob,31.34,69.45,295.77,66,0,1.9,PK,1599087755
384,Vestmannaeyjar,63.44,-20.27,283.59,89,100,1.81,IS,1599087759
385,Innisfail,-17.53,146.03,292.04,89,61,1.79,AU,1599087561
386,Esim,4.87,-2.24,297.01,91,70,4.15,GH,1599087650
387,Nsanje,-16.92,35.26,292.49,83,22,1.66,MW,1599087768
388,Tazovsky,67.47,78.7,278.27,93,86,4.39,RU,1599087771
389,Rayong,12.83,101.43,303.71,66,99,0.77,TH,1599087775
390,Yulara,-25.24,130.99,287.15,28,0,2.6,AU,1599087720
391,Walvis Bay,-22.96,14.51,284.26,62,0,1.0,NA,1599087781
392,Mersing,2.43,103.84,297.15,94,87,2.6,MY,1599087784
393,Santa Cruz de la Sierra,-17.8,-63.17,294.15,60,0,1.0,BO,1599087660
394,Asău,46.43,26.4,289.26,94,99,1.43,RO,1599087791
395,Florø,61.6,5.03,290.15,59,2,11.3,NO,1599087794
396,Barra do Garças,-15.89,-52.26,299.74,23,47,0.36,BR,1599087590
397,Katobu,-4.94,122.53,298.31,85,66,2.94,ID,1599087801
398,Tambopata,-12.73,-69.18,299.05,65,29,1.48,PE,1599087804
399,Zhigansk,66.77,123.37,282.84,80,95,7.42,RU,1599087807
400,Miyako,39.64,141.95,297.17,92,100,5.26,JP,1599087810
401,Sittwe,20.15,92.9,299.09,86,89,2.23,MM,1599087814
402,Alugan,12.22,125.48,300.64,79,98,1.44,PH,1599087817
403,Comodoro Rivadavia,-45.87,-67.5,288.15,41,25,5.7,AR,1599087820
404,Padang,-0.95,100.35,298.42,78,80,1.79,ID,1599087823
405,Conakry,9.54,-13.68,299.44,78,100,5.05,GN,1599087531
406,Negara,-8.32,114.6,297.61,87,74,2.02,ID,1599087830
407,Praia da Vitória,38.73,-27.07,295.37,83,20,2.38,PT,1599087833
408,Torgau,51.57,13.0,287.15,82,75,2.6,DE,1599087836
409,Guerrero Negro,27.98,-114.06,299.49,61,0,7.01,MX,1599087557
410,Safranbolu,41.25,32.69,292.49,50,0,0.88,TR,1599087843
411,Saldanha,-33.01,17.94,287.15,93,0,3.1,ZA,1599087846
412,Ust-Nera,64.57,143.2,282.68,61,93,0.95,RU,1599087849
413,Annaberg-Buchholz,50.58,13.01,282.59,91,93,1.97,DE,1599087853
414,Barra de Tecoanapa,16.52,-98.75,302.1,69,0,3.86,MX,1599087856
415,Wonthaggi,-38.6,145.59,289.26,70,61,6.49,AU,1599087773
416,Pierre,44.37,-100.35,308.15,16,1,9.3,US,1599087656
417,Arona,28.1,-16.68,297.04,78,0,3.6,ES,1599087865
418,Maigo,8.16,123.96,300.78,74,35,0.45,PH,1599087869
419,Trairi,-3.28,-39.27,298.72,72,1,5.9,BR,1599087872
420,Uglovoye,44.82,33.6,296.59,70,19,1.75,UA,1599087875
421,Kishapu,-3.62,33.87,291.39,54,0,4.47,TZ,1599087878
422,Iwanai,42.97,140.51,297.75,71,8,4.29,JP,1599087882
423,Bulgan,48.81,103.53,284.34,71,74,1.61,MN,1599087885
424,Gananoque,44.33,-76.17,296.48,49,26,3.13,CA,1599087888
425,Meulaboh,4.14,96.13,298.05,80,100,1.62,ID,1599087891
426,Ouahigouya,13.58,-2.42,297.72,77,100,3.34,BF,1599087620
427,La Rioja,42.25,-2.5,287.15,71,0,2.33,ES,1599087898
428,Rio Grande,-32.03,-52.1,289.82,96,99,1.34,BR,1599087644
429,Bandarbeyla,9.49,50.81,298.77,73,72,9.76,SO,1599087904
430,São Sebastião,-23.76,-45.41,294.19,88,58,4.14,BR,1599087907
431,Saraland,30.82,-88.07,306.15,63,20,3.6,US,1599087911
432,Nabire,-3.37,135.48,298.23,81,100,1.06,ID,1599087914
433,Semey,50.41,80.23,291.15,63,0,2.0,KZ,1599087917
434,Baiyin,36.56,104.21,286.48,81,91,3.0,CN,1599087921
435,Victor Harbor,-35.57,138.62,285.93,85,55,0.45,AU,1599087924
436,Temnikov,54.63,43.21,283.12,87,0,2.71,RU,1599087927
437,Chimbote,-9.09,-78.58,289.47,79,22,5.12,PE,1599087930
438,Qandala,11.47,49.87,305.16,54,6,1.77,SO,1599087671
439,Phanom Sarakham,13.75,101.36,304.26,100,92,1.46,TH,1599087937
440,Davila,18.47,120.58,298.15,94,75,1.5,PH,1599087940
441,Bar Harbor,44.39,-68.2,291.15,88,90,5.1,US,1599087796
442,Pemberton,50.32,-122.8,296.15,49,20,1.5,CA,1599087946
443,Tabas,33.6,56.92,296.15,17,0,2.1,IR,1599087950
444,Nelson Bay,-32.72,152.15,292.15,55,0,3.1,AU,1599087953
445,Bagdarin,54.43,113.6,281.31,87,85,0.27,RU,1599087956
446,Martí,22.95,-80.92,297.15,94,75,2.1,CU,1599087960
447,Kapoeta,4.77,33.59,298.1,50,20,1.59,SS,1599087963
448,Staryy Nadym,65.61,72.68,280.97,93,100,5.66,RU,1599087966
449,Granada,37.19,-3.61,293.15,64,0,0.58,ES,1599087914
450,Belaya Gora,68.53,146.42,279.69,75,71,6.24,RU,1599087973
451,Sorata,-15.77,-68.63,281.19,80,91,2.38,BO,1599087976
452,Lata,40.16,-8.33,292.59,87,0,0.5,PT,1599087979
453,Shenjiamen,29.96,122.3,298.86,75,0,7.4,CN,1599087982
454,Mulchén,-37.72,-72.23,286.15,58,75,2.1,CL,1599087986
455,Dubai,25.26,55.3,305.15,70,0,2.6,AE,1599087892
456,Great Bend,38.36,-98.76,304.26,45,90,2.1,US,1599087992
457,Vardø,70.37,31.11,287.15,67,100,4.1,NO,1599087719
458,Anori,-3.77,-61.64,303.86,48,80,0.82,BR,1599087999
459,Tay Ninh,11.3,106.1,298.5,92,99,2.95,VN,1599088002
460,Belmonte,-15.86,-38.88,294.15,88,75,2.6,BR,1599088005
461,The Pas,53.83,-101.25,288.15,67,40,3.6,CA,1599088009
462,Bariloche,-41.15,-71.31,279.15,70,75,7.2,AR,1599088012
463,Wagga Wagga,-35.12,147.37,287.15,71,40,3.1,AU,1599087947
464,Atherton,53.52,-2.49,290.37,91,100,1.79,GB,1599088018
465,Adelaide,-34.93,138.6,287.04,71,75,9.3,AU,1599088022
466,Freiberg,50.92,13.37,285.93,84,97,0.89,DE,1599088025
467,Hūn,29.13,15.95,301.25,25,0,5.14,LY,1599088028
468,Khakhea,-24.69,23.49,290.24,61,39,11.14,BW,1599088031
469,Aligoodarz,33.4,49.69,285.64,51,1,0.5,IR,1599088035
470,Nejdek,50.32,12.73,282.59,93,95,1.0,CZ,1599088038
471,Southbridge,42.08,-72.03,292.59,99,100,3.16,US,1599088041
472,Sladkovo,55.53,70.34,283.47,85,100,7.94,RU,1599088044
473,Mirny,62.54,113.96,285.15,100,90,2.0,RU,1599088048
474,Kayasula,44.33,45.0,294.11,74,90,3.39,RU,1599088051
475,Sechura,-5.56,-80.82,291.63,69,0,8.82,PE,1599088054
476,Kitimat,54.05,-128.65,288.71,80,100,2.02,CA,1599088058
477,Kavaratti,10.57,72.64,300.38,81,100,8.07,IN,1599088061
478,Port Hedland,-20.32,118.57,291.15,45,95,3.6,AU,1599088064
479,College,64.86,-147.8,285.15,66,75,1.5,US,1599088067
480,Sarakhs,36.54,61.16,293.15,37,0,1.0,IR,1599088071
481,Östersund,63.18,14.64,284.15,71,0,5.7,SE,1599087817
482,Villazón,-22.09,-65.59,282.76,23,0,5.51,BO,1599088077
483,Mawlaik,23.63,94.42,297.14,87,61,0.29,MM,1599088080
484,Almenara,-16.18,-40.69,293.01,68,57,1.41,BR,1599088083
485,Karaton,-6.34,106.1,299.26,94,40,1.5,ID,1599088087
486,Letterkenny,54.95,-7.73,287.33,90,56,4.08,IE,1599088090
487,Opuwo,-18.06,13.84,288.11,34,0,1.46,NA,1599088093
488,Sangīn,32.07,64.84,292.72,25,0,1.11,AF,1599088097
489,Tías,28.96,-13.64,296.15,83,20,4.6,ES,1599088100
490,Nara,34.69,135.8,302.04,83,75,2.6,JP,1599087954
491,Dzerzhinskoye,56.83,95.23,284.88,92,76,2.08,RU,1599088106
492,Caucaia,-3.74,-38.65,300.15,74,0,5.7,BR,1599088109
493,Hoquiam,46.98,-123.89,294.15,68,1,7.2,US,1599088113
494,Marsh Harbour,26.54,-77.06,302.53,79,31,5.93,BS,1599087852
495,Karasjok,69.47,25.51,285.15,71,99,10.8,NO,1599088119
496,Juneau,58.3,-134.42,285.37,91,100,0.45,US,1599088122
497,Camacha,33.08,-16.33,294.15,77,20,3.1,PT,1599088126
498,Van Buren,35.44,-94.35,299.15,83,75,1.5,US,1599088129
499,Necochea,-38.55,-58.74,281.48,90,100,2.78,AR,1599088132
500,Puerto Madryn,-42.77,-65.04,287.2,40,78,4.29,AR,1599088135
501,Evensk,61.95,159.23,284.82,52,36,3.64,RU,1599088139
502,George,-33.96,22.46,291.15,34,0,8.7,ZA,1599088142
503,Kloulklubed,7.04,134.26,300.15,83,75,3.02,PW,1599088145
504,Puerto Ayacucho,5.66,-67.62,296.1,96,100,1.46,VE,1599088149
505,Makakilo City,21.35,-158.09,305.15,43,75,4.1,US,1599088152
506,Westerly,41.38,-71.83,295.15,100,90,3.6,US,1599088155
507,Leshukonskoye,64.9,45.76,278.26,91,4,1.36,RU,1599088158
508,Pytalovo,57.07,27.91,289.19,93,95,4.5,RU,1599088161
509,Bajil,15.06,43.29,306.19,53,28,0.49,YE,1599088165
510,Yuxia,34.06,108.63,294.26,100,0,1.0,CN,1599088168
511,Kuvshinovo,57.03,34.17,284.95,85,49,3.76,RU,1599088171
512,Sompeta,18.93,84.6,300.51,77,100,0.73,IN,1599088174
513,Chengde,40.97,117.94,286.69,76,0,2.18,CN,1599088178
514,San Quintín,30.48,-115.95,295.93,70,0,5.64,MX,1599087898
515,Nioro,13.35,-15.75,296.52,96,100,2.1,GM,1599087925
516,Catuday,16.29,119.81,300.36,82,100,2.55,PH,1599088187
517,Shimoda,34.67,138.95,303.15,84,20,4.1,JP,1599088191
518,Nkoteng,4.52,12.03,293.86,98,54,1.78,CM,1599088194
519,Wajima,37.4,136.9,303.68,64,0,5.79,JP,1599088197
520,Vostok,46.49,135.88,292.44,90,99,1.92,RU,1599088200
521,Boromo,11.75,-2.93,297.62,88,100,1.44,BF,1599088204
522,Mount Gambier,-37.83,140.77,284.15,87,90,7.2,AU,1599088207
523,Peniche,39.36,-9.38,292.04,85,0,0.45,PT,1599088210
524,Zeya,53.75,127.27,286.52,88,22,1.48,RU,1599088214
525,High Level,58.52,-117.14,287.15,71,75,3.1,CA,1599088217
526,Celestún,20.87,-90.4,303.32,70,13,8.15,MX,1599088220
527,Balakhta,55.38,91.6,286.19,94,100,2.49,RU,1599088224
528,Goianésia,-15.32,-49.12,297.55,31,18,2.78,BR,1599088227
529,Waipawa,-41.41,175.52,284.26,61,3,7.7,NZ,1599088230
530,Constitución,-35.33,-72.42,283.15,81,0,5.42,CL,1599088233
531,Vorukh,39.85,70.58,290.03,43,77,1.11,TJ,1599088237
532,San Vicente,-26.62,-54.13,293.3,73,72,0.73,AR,1599088240
533,Sussex,41.18,-74.67,299.15,78,90,3.42,US,1599087943
534,Kumul,42.8,93.45,296.69,19,0,3.82,CN,1599088037
535,Tazmalt,36.39,4.4,295.15,78,40,2.1,DZ,1599088249
536,Āsosa,10.07,34.53,289.64,95,100,0.85,ET,1599088253
537,Narsaq,60.92,-46.05,281.15,45,11,1.0,GL,1599088256
538,Esperance,-33.87,121.9,279.15,100,76,4.6,AU,1599088259
539,Athabasca,54.72,-113.29,289.15,55,46,7.6,CA,1599087991
540,Georgiyevka,43.04,74.71,294.15,56,40,3.0,KZ,1599088265
541,Sisimiut,66.94,-53.67,279.01,73,89,2.08,GL,1599088175
542,Mil'kovo,54.72,158.62,282.46,90,99,0.64,RU,1599088272
543,Acarí,-15.43,-74.62,288.48,74,58,3.33,PE,1599088275
544,Ninghai,29.29,121.42,300.37,99,0,2.61,CN,1599088278
545,Brownsville,25.9,-97.5,307.15,52,1,8.7,US,1599088008
546,Verāval,20.9,70.37,299.34,84,100,3.08,IN,1599088285
547,Buchanan,5.88,-10.05,298.15,94,75,3.77,LR,1599088288
548,Rena,61.13,11.36,280.93,87,0,1.01,NO,1599088291
549,Tokmak,47.25,35.71,296.41,42,2,3.04,UA,1599088294
550,Lokachi,50.74,24.65,287.04,98,89,2.44,UA,1599088298
551,Gijang,35.24,129.21,299.15,69,75,10.3,KR,1599088301
552,Auki,-8.77,160.7,303.0,67,21,2.96,SB,1599088304
553,Aykhal,66.0,111.5,283.15,93,75,2.0,RU,1599088308
554,Montepuez,-13.13,39.0,293.33,76,64,4.65,MZ,1599088084
555,Galle,6.04,80.22,299.38,84,87,4.64,LK,1599088314
556,Maputo,-25.97,32.59,288.15,87,20,1.0,MZ,1599088134
557,Ozerna,49.63,25.33,286.46,84,98,2.62,UA,1599088207
558,Havre-St-Pierre,50.23,-63.6,288.15,67,90,4.1,CA,1599088324
559,Quatre Cocos,-20.21,57.76,294.26,100,75,1.5,MU,1599088327
560,Risod,19.97,76.78,295.27,85,88,1.49,IN,1599088330
561,Hervey Bay,-25.3,152.85,295.93,77,75,2.6,AU,1599088333
562,Santarém,-2.44,-54.71,302.15,74,20,2.6,BR,1599088337
563,Prainha,-1.8,-53.48,301.95,55,3,1.85,BR,1599088340
564,Caravelas,-17.71,-39.25,294.59,86,30,3.46,BR,1599088343
565,Pithorāgarh,29.58,80.22,290.51,99,57,0.15,IN,1599088347
566,Sakon Nakhon,17.16,104.15,297.76,89,55,1.45,TH,1599088350
567,Pangoa,-12.12,-73.0,296.93,68,61,0.22,PE,1599088353
568,San Cristobal,7.77,-72.22,296.15,83,75,4.1,VE,1599088129
569,Sterlitamak,53.62,55.95,280.87,80,0,4.38,RU,1599088360
570,Borogontsy,62.67,131.17,285.7,84,5,1.03,RU,1599088363
571,Coquimbo,-29.95,-71.34,286.15,82,0,7.2,CL,1599088366
572,Ambilobe,-13.2,49.05,291.07,89,18,1.22,MG,1599088369
573,Sinnamary,5.38,-52.95,299.57,81,53,5.58,GF,1599088373
574,Kolyvan',55.31,82.74,293.15,64,63,6.0,RU,1599088376
575,Papendrecht,51.83,4.69,287.59,88,81,0.45,NL,1599088379
